original_id,new_id
214596,OBS0593242130
299199,GOB1666788687
61259,ENT1035190914
215638,LOU9434284689
61459,BAT6124751645
301233,BAT0919766349
215763,ENT5372313075
63480,PAN1712703572
216546,POP6961244803
69083,BUT1230900916
302194,MEN0848508351
220063,BUT5627430321
302727,TEM6387593899
69588,LOU8417810013
221745,REU6417064144
303048,BOU3933388529
221754,BUT4159540101
306538,BUT2831780256
70586,TEM1755420878
70858,GOB1768693127
224807,POP5823551138
71495,BUT6282160459
306624,BUT1446152660
225747,LUX4096243276
307154,TEM7657255007
72427,REU4859467505
226556,TEM1909029198
74561,HOT8855561220
308572,LUX4724334085
227521,PAS2108284340
309092,LOU4458402654
75708,MEN1673092925
229351,BUT6391689618
77482,BUT1157692272
310103,BUT0431102262
311499,BUT2570760293
229501,BUT2887044396
230036,BUT2562007348
311573,TEM0280620068
312437,BOU5662432082
78366,OPE6244129111
80260,MEN4765817705
230112,BUT4541046750
231419,ENT9836566675
312477,OBS2859776017
231442,TEM1836207622
313180,LOU0381896141
80301,PAN2385081465
81033,HOT0665015180
232293,BAT7845508471
81106,ENT9830111617
314288,REU5364997085
314294,REU1946001959
232437,MEN8940028334
314903,POP7781142911
81615,VAU7714116024
233110,TEM3111546632
81870,LUX8745208399
317690,VAU9772003442
240484,PAS6372943988
318358,ENT7064596473
84820,BUT3388684739
86053,LOU6726847417
87481,LUX4449042389
243040,ELY8342313119
91139,GOB9046955210
321624,POP9378344101
243961,ENT9230624238
323270,PAN1948989082
245715,PAS6303479721
93287,BOU9694556868
246647,REU5405749005
94270,OBS9233183085
324431,HOT8194986272
247728,POP6475112983
325333,BUT3068207183
95915,POP1959068313
247764,ENT2689942077
97773,POP2261678303
325880,OPE6776332261
248869,BAT4226401367
98322,ENT5284322379
250378,TEM7402930960
101682,GOB0261257219
328271,BUT6336484222
252049,POP2119298952
332253,BUT2363383039
105210,TEM4987406682
252095,BUT2877770049
108201,HOT6744167080
108591,ELY5702718299
332387,MEN8556693940
252525,BOU1033887656
332670,POP9215916263
334304,LUX6939410207
109161,PAN3432983269
110322,PAN2967957432
253877,BUT7442944117
111270,BAT4988888081
335484,REU5032893313
256758,LOU3524013101
336636,VAU9817725265
336904,BUT2790931793
113011,MEN6846165737
114543,VAU0188200880
259807,MEN7891184126
115107,BUT5974598195
339934,BUT9608634708
261744,PAL1540621686
261875,PAN4187641848
341124,POP4021213766
115655,BUT8963677366
262557,ENT1307542602
120494,GOB2922358882
122222,POP7172914010
341130,POP1807491062
342856,LOU9048781964
263237,VAU2869970527
342902,VAU9636905686
343648,HOT2166404256
125686,ENT1290726823
268302,BUT3339091130
130420,OPE8459709514
270067,ELY7675344556
343721,TEM8058611501
274590,LOU9024885747
343862,LOU0294345029
137112,POP4715500492
137857,MEN0905801192
274877,BOU5835920510
344230,PAN7740490832
277077,TEM6017041115
344258,POP3441797193
138548,BOU5775579768
281357,ENT9891040050
139074,PAS0250352172
347698,TEM0675352268
281420,BUT7727862149
139889,BUT3312841388
281965,REU9202790636
140355,BUT7996659265
348747,ELY9672365777
146926,ENT3444472681
282008,BOU9235466520
349335,BUT0305894360
282817,PAN3910486922
148885,PAS9306764976
284255,ENT0509498521
151020,BOU5493770135
352851,BUT9098111919
284294,ELY5748584293
284315,REU5698283548
354929,BOU7364202901
366754,HOT9935843202
151935,PAL6742540519
153190,PAN5233941018
284505,LUX7825895488
285108,BUT1406803290
424737,OPE9691890794
367808,VAU9838647330
285786,LOU9292754345
371299,HOT4058471908
371716,TEM0230658295
429194,TEM4346823538
429716,PAL7299759317
432537,BAT2404437414
432800,BUT9181457863
434622,POP4826055602
434658,OBS6275802971
286005,MEN0942629379
434981,TEM7741597355
371862,ENT8019068369
286364,MEN5250298960
436226,BUT3693251079
287674,HOT6091270317
436622,PAS6310363250
372879,GOB5510473705
289647,HOT2288685996
438462,BUT0220813728
440509,LOU5527863450
290633,POP6347271918
440849,ENT5928779484
375434,ELY0207698800
291235,GOB0849273879
378714,VAU9551816318
440985,MEN7367664957
522428,BUT6257098905
444157,MEN3941279906
378897,OPE5676614668
522835,MEN0709583184
447208,BOU3513921671
522864,HOT7518388289
449093,BOU5378930975
379527,ENT5884237786
524067,BUT3888162448
380239,BAT0931665568
383284,ENT9781104173
451629,POP2198557780
524805,BOU2589650934
452481,BAT7570784203
524896,ENT6709962557
524924,ENT4568971673
455235,HOT7291669392
390984,BUT0712367808
391189,REU8167951979
525128,LUX9725739343
525668,BUT7584949377
392431,TEM5850849430
456179,OBS1575000017
526316,OPE9771582522
458673,PAS3791000455
396057,TEM4965583658
526838,PAN6721253513
398860,TEM8750459783
458986,BOU9995427752
528263,POP7714964559
459950,POP9966402948
401569,ENT6201757055
528274,PAS9474266924
401887,TEM6581756260
461860,BUT3057060261
528415,TEM5886522620
529549,OBS7992437195
462105,POP5669455155
406852,MEN8028448249
529711,BUT3395142760
530942,POP7401707286
406891,POP0161605967
462307,BOU5310991061
532504,REU2347229377
462473,TEM2188615252
463726,HOT5254101510
406902,HOT2694334791
407428,REU5815658764
533399,PAS9645180064
407717,MEN5575034993
464235,BUT2706632602
534266,PAN2449890614
466074,VAU7350402549
409039,BUT2652225682
534650,BOU1484789540
412350,BUT1628418754
412379,BUT0406170131
413159,MEN3091424424
466434,PAS4649100463
467782,BUT3582753168
535068,TEM0185925398
413179,POP5995689746
536347,ELY5270880275
416129,LUX0604884156
417242,POP8565188831
468441,BUT7669562483
468465,MEN3975576424
468471,POP8291716460
536653,PAS9627016425
537084,BAT3710052287
469712,PAN8127756045
417641,LUX7495263199
537192,OBS7116723955
418974,GOB8757231243
470270,ENT5926259824
537443,VAU0618603525
470361,REU4928248022
419721,BUT5668642905
537970,GOB8737746767
