id,host_id_fk,listings_group
MEN0905801192,64812345,Single-listing Hosts
BOU5835920510,14078884,Single-listing Hosts
PAN7740490832,39484982,Single-listing Hosts
TEM6017041115,62702922,Single-listing Hosts
POP3441797193,2535345,Single-listing Hosts
BOU5775579768,72506490,Single-listing Hosts
ENT9891040050,73531338,Single-listing Hosts
PAS0250352172,23681693,Single-listing Hosts
TEM0675352268,23827808,Single-listing Hosts
BUT7727862149,9886144,Single-listing Hosts
BUT3312841388,51389856,Single-listing Hosts
REU9202790636,53965698,2-3 listing Hosts
BUT7996659265,92016766,Single-listing Hosts
ELY9672365777,15340483,Single-listing Hosts
ENT3444472681,85343656,Single-listing Hosts
BOU9235466520,8852386,2-3 listing Hosts
BUT0305894360,71567446,Single-listing Hosts
PAN3910486922,39673764,Single-listing Hosts
PAS9306764976,44153549,4-9 listing Hosts
ENT0509498521,7125609,Single-listing Hosts
BOU5493770135,41669195,10+ listing Hosts
BUT9098111919,74875010,Single-listing Hosts
ELY5748584293,94167368,10+ listing Hosts
REU5698283548,53965698,2-3 listing Hosts
BOU7364202901,16561579,Single-listing Hosts
HOT9935843202,41451633,4-9 listing Hosts
PAL6742540519,10721359,Single-listing Hosts
PAN5233941018,97622901,Single-listing Hosts
LUX7825895488,94167368,10+ listing Hosts
BUT1406803290,89813659,Single-listing Hosts
OPE9691890794,34154724,Single-listing Hosts
VAU9838647330,68084700,Single-listing Hosts
LOU9292754345,72682674,Single-listing Hosts
HOT4058471908,66028658,2-3 listing Hosts
TEM0230658295,85119658,Single-listing Hosts
TEM4346823538,87646027,Single-listing Hosts
PAL7299759317,89021369,Single-listing Hosts
BAT2404437414,21083097,Single-listing Hosts
BUT9181457863,70707356,Single-listing Hosts
POP4826055602,73660206,Single-listing Hosts
OBS6275802971,72068158,Single-listing Hosts
MEN0942629379,5084947,Single-listing Hosts
TEM7741597355,85241629,Single-listing Hosts
ENT8019068369,31170460,Single-listing Hosts
MEN5250298960,8838870,Single-listing Hosts
BUT3693251079,44199898,Single-listing Hosts
HOT6091270317,38380760,10+ listing Hosts
PAS6310363250,23545034,2-3 listing Hosts
GOB5510473705,85498070,2-3 listing Hosts
HOT2288685996,34220661,Single-listing Hosts
BUT0220813728,78187842,Single-listing Hosts
LOU5527863450,92818276,Single-listing Hosts
POP6347271918,38524784,Single-listing Hosts
ENT5928779484,24227014,Single-listing Hosts
ELY0207698800,77108193,Single-listing Hosts
GOB0849273879,91085627,Single-listing Hosts
